journal,year,mont,title,abstract,author
PLoS biology,2021,3,"How PLOS Biology aims to foster diversity, equity and inclusion in science.","A diverse scientific community is not only fairer but also improves science overall by bringing a richer range of perspectives to the research enterprise. Here, we discuss steps that PLOS Biology is taking to support diversity, equity and inclusion at the journal and beyond.",
WMJ : official publication of the State Medical Society of Wisconsin,2021,3,"The Interplay of Diversity, Equity, and Inclusion in Addressing Health Inequities.","The terms diversity, equity, and inclusion have become part of a national conversation as we come to grips with longstanding societal negligence. But what do these terms mean with respect to health care, and are we manifesting them in our medical practices?",Steinkamp L
Nursing education perspectives,2022,8,Enhancing Racial Justice and Equity Through Simulation.,"Diversity, equity, inclusion, and antiracism (DEI-A) are critical to providing adequate health care to all populations. High-fidelity simulations and role-play scenarios allow students to experience caring for clients from diverse backgrounds. This article discusses the project development and implementation of a DEI-A simulation day placed in a community health clinical course.",Abram MD
Journal of the American College of Cardiology,2022,8,"Ancestry, Lipoprotein(a), and Cardiovascular Risk Thresholds: JACC Review Topic of the Week.","This study reviews ancestral differences in the genetics of the LPA gene, risk categories of elevated lipoprotein(a) [Lp(a)] as defined by guidelines, ancestry-specific Lp(a) risk, absolute and proportional risk, predictive value of risk thresholds among different ancestries, and differences between laboratory vs clinical accuracy in Lp(a) assays. For clinical decision-making, the preponderance of evidence suggests that the predictive value of Lp(a) does not vary sufficiently to mandate the use of ancestry-specific risk thresholds. This paper interprets the literature on Lp(a) and ancestral risk to support: 1) clinicians on understanding cardiovascular disease risk in different ancestral groups; 2) trialists for the design of clinical trials to ensure adequate ancestral diversity to support broad conclusions of drug effects; 3) regulators in the evaluation of the design and interpretation of results of Lp(a)-lowering trials with different Lp(a) inclusion thresholds; and 4) clinical laboratories to measure Lp(a) by assays that discriminate risk thresholds appropriately.",Tsimikas S
Journal of clinical and translational science,2022,8,"Development and evaluation of a novel training program to build study staff skills in equitable and inclusive engagement, recruitment, and retention of clinical research participants.","Adequate equitable recruitment of underrepresented groups in clinical research and trials is a national problem and remains a daunting challenge to translating research discoveries into effective healthcare practices. Engagement, recruitment, and retention (ER&R) training programs for Clinical Research Professionals (CRPs) often focus on policies and regulations. Although some training on the importance of diversity and inclusion in clinical research participation has recently been developed, there remains a need for training that couples critical equity, diversity, and inclusion (EDI) concepts with skill development in effective recruitment and retention strategies, regulations, and best practices.",Cranfill JR
Journal of microbiology & biology education,2022,8,The PULSE Diversity Equity and Inclusion (DEI) Rubric: a Tool To Help Assess Departmental DEI Efforts.,"In an attempt to redesign science, technology, engineering, and mathematics (STEM) departments to be more inclusive of all student populations, institutions of higher learning are reviewing their programs, policies, and the ways they engage students. The Partnership for Undergraduate Life Sciences Education (PULSE) has been working with STEM departments over the past 10 years to improve the student experience by incorporating evidence-based teaching practices and creating curricula with a deeper focus on conceptual understanding of scientific principles, competencies, and the process of science. PULSE created the PULSE rubrics, a set of five rubrics designed to assist life sciences departments in assessing their implementation of the recommendations of the American Association for the Advancement of Science Vision and Change report in the areas of curriculum, assessment, faculty practice and faculty support, infrastructure, and climate for change. An additional rubric, on diversity, equity, and inclusion (DEI), is described in this paper. Each of the 13 criteria of the PULSE DEI rubric begins with a context section of background information with references and a scale of 0 to 4 (baseline to exemplar) with descriptors for each score. The PULSE DEI rubric has been added to allow departments to determine the starting point for their DEI work and reveal areas that require attention. All PULSE rubrics can be accessed from the PULSE Community website (https://www.pulse-community.org/rubrics).",Brancaccio-Taras L
Journal of clinical and translational science,2022,8,"Feasibility, impact, and priority of key strategies to enhance diverse and inclusive training programs in clinical and translational research: A mixed methods study.","Enhancing diversity in the scientific workforce is a long-standing issue. This study uses mixed methods to understand the feasibility, impact, and priority of six key strategies to promote diverse and inclusive training and contextualize the six key strategies across Clinical and Translational Science Awards (CTSAs) Program Institutions.",Campbell JA
Plant direct,2022,8,"Removing systemic barriers to equity, diversity, and inclusion: Report of the 2019 Plant Science Research Network workshop ""Inclusivity in the Plant Sciences"".","A future in which scientific discoveries are valued and trusted by the general public cannot be achieved without greater inclusion and participation of diverse communities. To envision a path towards this future, in January 2019 a diverse group of researchers, educators, students, and administrators gathered to hear and share personal perspectives on equity, diversity, and inclusion (EDI) in the plant sciences. From these broad perspectives, the group developed strategies and identified tactics to facilitate and support EDI within and beyond the plant science community. The workshop leveraged scenario planning and the richness of its participants to develop recommendations aimed at promoting systemic change at the institutional level through the actions of scientific societies, universities, and individuals and through new funding models to support research and training. While these initiatives were formulated specifically for the plant science community, they can also serve as a model to advance EDI in other disciplines. The proposed actions are thematically broad, integrating into discovery, applied and translational science, requiring and embracing multidisciplinarity, and giving voice to previously unheard perspectives. We offer a vision of barrier-free access to participation in science, and a plant science community that reflects the diversity of our rapidly changing nation, and supports and invests in the training and well-being of all its members. The relevance and robustness of our recommendations has been tested by dramatic and global events since the workshop. The time to act upon them is now.",Henkhaus NA
American journal of epidemiology,2022,8,A Novel Curriculum Review Process for Initiating the Incorporation of Antiracist Principles Into Epidemiology Course Work.,"There is growing acknowledgement of the legacy of White supremacy and racism in the discipline of epidemiology. Our department in the University of Washington School of Public Health undertook a systematic effort to begin addressing institutionalized racism and inclusive teaching in our courses. In July 2020, we introduced a new tool (the ""Course Development Plan"" (CDP)) to advance our curriculum. The CDP includes 2 components: 1) a guideline document that provides strategies on how to modify curricula and classroom teaching to incorporate antiracism and principles of equity, diversity, and inclusion (EDI); and 2) a structured worksheet for instructors to share EDI and antiracism practices they already incorporate and practices they plan to incorporate into their classes. Worksheets for each class are submitted prior to the beginning of the quarter and are reviewed by a peer faculty member and at least 1 epidemiology student; reviewers provide written feedback on the CDP worksheet. Further evaluation to assess the impact of the CDP process on classroom climate is ongoing. In this commentary, we discuss our department's efforts, the challenges we faced, and our hopes for next steps.",Seiler J
Academic radiology,2022,8,"Using an Annual Diversity, Equity and Inclusion Dashboard to Accelerate Change in Academic Radiology Departments.","Despite widespread interest in creating a more equitable and inclusive culture, a lack of workforce diversity persists in Radiology, in part due to a lack of universal and longitudinal metrics across institutions. In an attempt to establish benchmarks, a subset of the Society of Chairs of Academic Radiology Departments (SCARD) Diversity, Equity and Inclusion (DEI) Committee volunteered to design a DEI dashboard as a potential tool for academic radiology programs to use to document and track their progress. This freely-available, modular dashboard includes suggested (plus optional department-defined) DEI activities/parameters and suggested assessment criteria across three domains: faculty, residents & fellows, and medical students; it can be completed, in whole or in part, by departmental leaders annually. The suggested metrics and their associated rubrics were derived from the collective experiences of the five working group members, all of whom are chairs of academic radiology departments. The resulting dashboard was unanimously approved by the remaining 14 DEI committee members and endorsed by the SCARD board of directors.",Oates ME
The Journal of bone and joint surgery. American volume,2022,8,"An Introduction to the Orthopaedic Diversity Leadership Consortium: Advancement of Our Orthopaedic Leaders of Diversity, Equity, and Inclusion Through Networking, Strategy, and Innovation.","Achievement of diversity, equity, and inclusion (DEI) is an ongoing discussion that has evolved over time in the field of orthopaedic surgery. To enhance and highlight commitments to diversity, many academic department and health organizations have designated individuals to serve as their DEI leader. However, suboptimal structure and support of this specific leadership position have limited its potential and have led to increased position turnover and stagnation in progress. To mitigate these challenges, the Orthopaedic Diversity Leadership Consortium (ODLC) was formed as a growing network of orthopaedic diversity leaders from around the United States as well as international members and industry affiliates. The mission of ODLC is to optimize the sustainability of DEI efforts by providing professional development support and best-practice solutions to leaders serving in this capacity. The efforts of the organization are guided by 3 key objectives: leadership development, design of strategic plan models for diversity, and interprofessional education for perioperative care teams on inclusion. Through this powerful network and its educational offerings, ODLC works to increase role efficacy and to encourage sustainable creation of diverse, equitable, and inclusive environments for our patients, colleagues, and team members.",Taylor E
Transplant international : official journal of the European Society for Organ Transplantation,2022,8,Gender and Racial Disparity Among Liver Transplantation Professionals: Report of a Global Survey.,"Equality, diversity, and inclusion (EDI) are fundamental principles. Little is known about the pattern of practice and perceptions of EDI among liver transplant (LT) providers. International Liver Transplant Society (ILTS) EDI Committee survey around topics related to discrimination, mentorship, and gender. Answers were collected and analyzed anonymously. Worldwide female leadership was also queried via publicly available data. The survey was e-mailed to 1312 ILTS members, 199 responses (40.7% female) were collected from 38 countries (15.2% response rate). Almost half were surgeons (45.7%), 27.6% hepatologists and 26.6% anesthetists. Among 856 LT programs worldwide, 8.2% of leadership positions were held by females, and 22% of division chiefs were female across all specialties. Sixty-eight of respondents (34.7%) reported some form of discrimination during training or at their current position, presumably related to gender/sexual orientation (20.6%), race/country of origin (25.2%) and others (7.1%). Less than half (43.7%) received mentorship when discrimination occurred. An association between female responses and discrimination, differences in compensation, and job promotion was observed. This survey reveals alarmingly high rate of experience with racial and gender disparity, lack of mentorship, and very low rates of female leadership in the LT field and calls to action to equity and inclusion.",Aguilera V
Journal of clinical and translational science,2022,8,"Advancing diversity, equity, and inclusion within clinical and translational science training programs: A qualitative content analysis of the training breakout session at the national CTSA program meeting.","Diversity, equity, and inclusion (DEI) in clinical and translational science (CTS) are paramount to driving innovation and increasing health equity. One important area for improving diversity is among trainees in CTS programs. This paper reports on findings from a special session at the November 2020 Clinical and Translational Science Award (CTSA) national program meeting that focused on advancing diversity and inclusion within CTS training programs.",Shay LA
The Journal of continuing education in the health professions,2022,8,Advancing Curriculum Development and Design in Health Professions Education: A Health Equity and Inclusion Framework for Education Programs.,"The COVID-19 pandemic has exacerbated pre-existing health inequities in vulnerable and marginalized patient populations. Continuing professional development (CPD) can be a critical driver of change to improve quality of care, health inequities, and system change. In order for CPD to address these disparities in care for patient populations most affected in the health care system, CPD programs must first address issues of equity and inclusion in their education development and delivery. Despite the need for equitable and inclusive CPD programs, there remains a paucity of tools and frameworks available in the literature to guide CPD and broader education providers on how best to develop and deliver equitable and inclusive education programs. In this article, we describe the development and application of a Health Equity and Inclusion (HEI) Framework for education and training grounded in the Analyze, Design, Develop, Implement, and Evaluate model for instructional design. Using a case example, specifically a hospital-wide trauma-informed de-escalation for safety program, we demonstrate how the HEI Framework can be applied practically to CPD programs to support equity and inclusion in the planning, development, implementation, and evaluation phases of education program delivery. The case example illustrates how the HEI Framework can be used by CPD providers to respect learner diversity, improve accessibility for all learners, foster inclusion, and address biases and stereotypes. We suggest that the HEI Framework can serve as an educational resource for CPD providers and health professions educators aiming to create equitable and inclusive CPD programs.",Agic B
Disability and rehabilitation,2022,8,Ableism within health care professions: a systematic review of the experiences and impact of discrimination against health care providers with disabilities.,People with disabilities experience concerning rates of ableism and are significantly under-represented within healthcare education and professions. Focusing on healthcare professions is important for enhancing the diversity and inclusion of equity-deserving groups within the workforce. The objective of this review was to explore the experiences and impact of workplace discrimination and ableism among healthcare providers and trainees with disabilities.,Lindsay S
Journal of the National Cancer Institute,2022,8,Improving Patient Advocacy in NCI Scientific Steering Committees and Task Forces.,"This commentary discusses improving research advocacy as part of National Cancer Institute (NCI) clinical trial activities in scientific steering committees and task forces between 2016 and 2020. Before 2016, the focus of patient advocate input on clinical trial concept evaluation was assessing accrual feasibility. By leveraging informal benchmarking and an outside-in perspective, the NCI patient advocate steering committee, comprised of NCI scientific steering committee and task force advocates, has recalibrated research advocacy within and across its clinical trial concepts. Additionally, by focusing on research advocacy fundamentals, the NCI patient advocate steering committee clarified the scope of the research advocate roles, focused its mission, defined and developed competencies, measured engagement, and created collateral and processes that support better interactions and greater value generation. Continuous improvement in the collateral and the underlying approaches, along with calibrating their application and monitoring results, will be necessary to keep pace with the science and further enhance the value of cancer clinical trial research advocacy. The road ahead should build on these fundamentals and include increased emphasis on diversity, equity, and inclusion in clinical trial and research advocacy participants and the supporting infrastructure.",Bangs R
Frontiers in rehabilitation sciences,2022,8,"Infusing disability equity within rehabilitation education and practice: A qualitative study of lived experiences of ableism, allyship, and healthcare partnership.","Addressing issues of diversity, equity, and inclusion (DEI) has become central in implementing inclusive and socially responsible rehabilitation education and clinical practice. Yet, the constructs of disability and d/Deaf identity and culture, as well as ableism and allyship are often overlooked. Or, these concepts are approached using outdated philosophical perspectives that pathologize disability and fail to prioritize the lived experiences, expertise, intersectionality, and self-identified needs of people with disabilities. A Critical Disability Studies (CDS) framework may provide a background for better understanding and responding to these issues through allyship.",Feldner HA
Biochemistry and cell biology = Biochimie et biologie cellulaire,2022,8,The search for genetic dark matter and lessons learned from the journey.,"In this review, I describe our scientific journey to unearth the impact of RNA metabolism in cancer using the eukaryotic translation initiation factor eIF4E as an exemplar. This model allowed us to discover new structural, biochemical, and molecular features of RNA processing, and to reveal their substantial impact on cell physiology. This led us to develop proof-of-principle strategies to target these pathways in cancer patients leading to clinical benefit. I discuss the important role that the unexpected plays in research and the necessity of embracing the data even when it clashes with dogma. I also touch on the importance of equity, diversity, and inclusion to the success of the scientific enterprise.",Borden KLB
Journal of the American College of Surgeons,2022,8,Embracing Allyship in Academic Surgery: How All Surgeons Can Become Effective Champions for Change.,"As the surgical community continues to work towards greater diversity, equity, and inclusion, the need for buy-in from all surgeons-including those of the White majority-becomes increasingly apparent. This article invites all surgeons to aid in diversity, equity, and inclusion efforts as ""allies,"" ""upstanders,"" and ""champions for change,"" and provides 2 specific frameworks for enacting allyship within the surgical field. Overt and conscious efforts to embrace allyship are imperative as we seek to fulfill our professional responsibilities to patients and will help create a workplace environment where all persons feel accepted, valued, welcomed, and respected.",Peck CJ
The Journal of nursing education,2022,8,Social Justice in Nursing Education: A Way Forward.,"Systemic racism and inequity are embedded in higher education, especially in nursing. By disregarding health disparities and inequities, a hidden curriculum is endorsed, implicitly letting both instructors and students know that not addressing these subjects is acceptable.",Roy K
Trends in cell biology,2022,8,How science outreach with children can promote equity and diversity.,"Science outreach is key to closing the gap between science and society. However, it often fails to reach those who feel excluded from science or are dismissive of it. By sharing our experience at Native Scientist, we demonstrate how outreach activities can help improve equity, diversity, and inclusion (EDI).",Golle J
Pediatric radiology,2022,8,Re-defining gender diversity through an equitable and inclusive lens.,"Gender diversity in radiology has centered on the societal construct of the gender binary, with significant work focused on increasing the number of women in radiology. Along with this critically important goal, it is imperative that we acknowledge gender is more expansive than a binary category because it represents a spectrum of gender identities. The discussion of this spectrum is lacking in our conversations around gender diversity and equity in radiology. Addressing equity for people of all gender identities is beneficial for us all. We define three key areas of focus: (1) improving fundamental knowledge about gender diversity and application of this knowledge in education, (2) recruiting and retaining gender-diverse physicians and (3) specific diversity, equity and inclusion (DEI) policy to support gender-affirming environments. Improved understanding and inclusion of the full spectrum of gender in these areas will improve diversity and equity, and, in turn, enhance creativity and innovation in radiology.",Zavaletta V
Academic medicine : journal of the Association of American Medical Colleges,2022,8,"No Taxation Without Representation: Addressing the ""Deaf Tax"" in Academic Medicine.","Minority faculty and trainees experience unique factors that can hinder their success in academic medicine-collectively referred to as ""minority tax."" The authors argue that a similar ""deaf tax"" of unique barriers, experiences, and responsibilities disproportionately burdens deaf trainees and faculty. The cumulative effects of these deaf tax experiences represent a significant disadvantage for deaf professionals in academic medicine. Through a combination of relevant literature and the authors' personal experiences as deaf professionals, several causative domains of deaf tax are outlined, including the fight for reasonable accommodations, prejudice and discrimination, training and diversity barriers, and a lack of deaf mentorship. In addition, a number of practical steps are offered for institutional leaders to consider implementing to improve equity and inclusion in academic medicine, including facilitating language equity and communication access, implementing deaf awareness training, fostering effective deaf mentorship, and promoting deaf professionals into leadership positions. Addressing these issues would help remove the obstacles that create the high deaf tax burden and lower the near-insurmountable barrier of entry, advancement, and retention in academic medicine for deaf professionals.",Aldalur A
Perspectives of the ASHA special interest groups,2022,8,Interpretation and Use of Standardized Language Assessments for Diverse School-Age Individuals.,"The ultimate aim of an assessment is to help examiners make valid conclusions about an individual's skill given their performance on a particular measure. Yet, assessing the language abilities of culturally and linguistically diverse individuals requires researchers and practitioners to carefully consider the appropriateness of traditional parameters of test psychometrics (e.g., reliability, or consistency of assessments as measurement) plus the intersectional identities that inform the generalizability of these parameters. The purpose of this clinical focus article is to provide clinicians and researchers with resources to interpret and use common standardized language assessments in English for culturally and linguistically diverse school-age youth. We present theories from psychometrics, legal studies, and education relevant to language assessment of diverse individuals, review standardized language assessments in English, and provide theory-to-practice applications of language assessment scenarios.",Girolamo T
Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,2022,8,"Gender-Inclusive Fellowship Naming and Equity, Diversity, and Inclusion in Radiology: An Analysis of Radiology Department Websites in Canada and the United States.","Purpose: Transgender and gender non-binary (TGNB) individuals face numerous inequalities in healthcare and there is substantial work to be done in fostering TGNB culturally competent care in radiology. A radiology department's online presence and use of gender-inclusive language are essential in promoting an environment of equity, diversity, and inclusion (EDI). The naming of radiology fellowships and continuing medical education (CME) courses with terminology such as ""Women's Imaging"" indicates a lack of inclusivity to TGNB patients and providers, which could result in suboptimal patient care. Methods: We conducted a cross-sectional analysis of all institutions in Canada and the United States (US) offering training in Breast Imaging, Women's Imaging, or Breast and Body Imaging. Data was collected from each institution's radiology department website pertaining to fellowship names, EDI involvement, and CME courses. Results: 8 Canadian and 71 US radiology fellowships were identified. 75% of Canadian and 90% of US fellowships had gender-inclusive names. One (12.5%) Canadian and 29 (41%) US institutions had EDI Committees mentioned on their websites. Among institutions publicly displaying CME courses about breast/body or women's imaging, gender-inclusive names were used in only 1 (25%) of the Canadian CME courses, compared to 81% of the US institutions. Conclusions: Most institutions in Canada and the US have gender-inclusive names for their radiology fellowships pertaining to breast and body imaging. However, there is much opportunity to and arguably the responsibility for institutions in both countries to increase the impact and visibility of their EDI efforts through creation of department-specific committees and CME courses.",Yan TD
Journal of vascular surgery,2022,8,"Vascular trainee perceptions of diversity, equity, and inclusion within United States vascular surgery training programs.","Vascular surgery training programs face multiple pressures, including attracting and retaining trainees. Current knowledge of trainees' views with respect to diversity and equity in vascular training programs is limited. We sought to understand United States vascular surgery trainees' perceptions and expectations regarding diversity, equity, and inclusion (DEI).",Gaffey AC
Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,2022,8,"Diversity, Equity, and Inclusion in Endocrinology: A Survey and Vision for the Future.","The Diversity, Equity, and Inclusion (DEI) committee of the American Association of Clinical Endocrinology (AACE) performed a survey whose aim was to explore characteristics of our membership, members' definitions, perceptions, and experiences with DEI in the endocrinology community, and future directions for the organization in this arena.",Borgan SM
Pediatric radiology,2022,8,"Leveraging diversity, equity and inclusion for promoting wellness in the radiology workplace.","Over the last decade, health care professionals in the field of radiology have experienced increasing rates of burnout. A study in 2017 showed high prevalence of burnout in pediatric radiology, and other studies have identified several drivers for burnout. An important factor in promoting wellness and mitigating burnout is leveraging diversity, equity and inclusion in the workplace. This manuscript highlights the importance of diversity in high-functioning teams as well as the critical role of equity and inclusion in the workplace to help create an organization where people belong and can effectively succeed.",Ayyala RS
Yearbook of medical informatics,2022,8,"Digital Health Equity: Addressing Power, Usability, and Trust to Strengthen Health Systems.","Without specific attention to health equity considerations in design, implementation, and evaluation, the rapid expansion of digital health approaches threatens to exacerbate rather than ameliorate existing health disparities.",Koehle H
The Canadian journal of urology,2022,8,An analysis of diversity within academic urology leadership.,"Women, underrepresented minorities, and international medical graduates are underrepresented in urology. We sought to compare demographics of leaders in academic urology to urology faculty and academic medical faculty.",Casals RK
Clinical orthopaedics and related research,2022,8,"Race, But Not Gender, Is Associated With Admissions Into Orthopaedic Residency Programs.","Orthopaedic surgery is one of the most competitive but least diverse surgical specialties, with ever-increasing academic achievements (such as test scores) shown by applicants. Prior research shows that white applicants had higher United States Medical Licensing Exam (USMLE) Step 1 and Step 2 Clinical Knowledge scores as well as higher odds of Alpha Omega Alpha status compared with Black, Hispanic, and other applicant groups. Yet, it still remains unknown whether differences in application metrics by race/ethnicity sufficiently explain the underrepresentation of certain racial or ethnic minority groups in orthopaedic residency programs.",Poon SC
Current sports medicine reports,2022,8,Gender Diversity in Primary Care Sports Medicine Leadership.,"Diversity, equity, and inclusion have been recognized as important drivers of excellence and innovation in the physician workforce. Given the historical underrepresentation of women in medicine, gender diversity is of interest. In this cross-sectional study, we sought to quantify leadership representation of female physicians in primary care sports medicine settings, including primary care sports medicine fellowship programs, select sports medicine societies, and select sports medicine-related scientific journals. Data were collected by querying the corresponding web site for each fellowship program, society, and journal and analyzed in a descriptive manner. Results showed that fewer female physicians hold primary care sports medicine leadership roles than men do. This work establishes a baseline for female representation in primary care sports medicine leadership; efforts should continue to increase the presence of women in leadership positions.",Mattson LM
JCO oncology practice,2022,8,Social Media and the Quest for Equity and Diversity in Oncology: On Safe Spaces and the Concept of the Public Physician.,"Despite their increased enrollment into medical school, women still face systemic barriers in medicine, whether in an academic or nonacademic setting. Those from Under-Represented Minority (URM) groups face similar issues, which may affect their desire to enter, pursue, and/or maintain a career in medicine. Social media provides unique opportunities for peer-to-peer support among members of URM communities and for amplification of their voices calling for social justice-here defined as a redistribution of power and the quest for equity in access to opportunities, including access to mentorship, professional development, and timely promotion in academic rank. These issues are relevant to oncologists especially as we strive for diversity, equity, and inclusion and to ensure that our patients have equal access to care, regardless of their circumstances. In this article, we review current literature that highlights issues faced by women and historically URM groups in medicine, particularly in oncology. We also discuss the physician's role as a social justice advocate and the concept of the public physician.",Florez N
Endoscopy,2022,8,Reducing the environmental footprint of gastrointestinal endoscopy: European Society of Gastrointestinal Endoscopy (ESGE) and European Society of Gastroenterology and Endoscopy Nurses and Associates (ESGENA) Position Statement.,"Climate change and the destruction of ecosystems by human activities are among the greatest challenges of the 21st century and require urgent action. Health care activities significantly contribute to the emission of greenhouse gases and waste production, with gastrointestinal (GI) endoscopy being one of the largest contributors. This Position Statement aims to raise awareness of the ecological footprint of GI endoscopy and provides guidance to reduce its environmental impact. The European Society of Gastrointestinal Endoscopy (ESGE) and the European Society of Gastroenterology and Endoscopy Nurses and Associates (ESGENA) outline suggestions and recommendations for health care providers, patients, governments, and industry. MAIN STATEMENTS 1: GI endoscopy is a resource-intensive activity with a significant yet poorly assessed environmental impact. 2: ESGE-ESGENA recommend adopting immediate actions to reduce the environmental impact of GI endoscopy. 3: ESGE-ESGENA recommend adherence to guidelines and implementation of audit strategies on the appropriateness of GI endoscopy to avoid the environmental impact of unnecessary procedures. 4: ESGE-ESGENA recommend the embedding of reduce, reuse, and recycle programs in the GI endoscopy unit. 5: ESGE-ESGENA suggest that there is an urgent need to reassess and reduce the environmental and economic impact of single-use GI endoscopic devices. 6: ESGE-ESGENA suggest against routine use of single-use GI endoscopes. However, their use could be considered in highly selected patients on a case-by-case basis. 7: ESGE-ESGENA recommend inclusion of sustainability in the training curricula of GI endoscopy and as a quality domain. 8: ESGE-ESGENA recommend conducting high quality research to quantify and minimize the environmental impact of GI endoscopy. 9: ESGE-ESGENA recommend that GI endoscopy companies assess, disclose, and audit the environmental impact of their value chain. 10:  ESGE-ESGENA recommend that GI endoscopy should become a net-zero greenhouse gas emissions practice by 2050.",Rodríguez de Santiago E
Journal of clinical and translational science,2022,8,From insights to action: Enriching the clinical and translational research workforce by developing diverse and inclusive career programs.,"Diversification of the Translational Science workforce is a strategic goal for the National Center for the Advancement of Translational Science (NCATS) program. NCATS has identified the development of translational science education, training, and support for a diverse translational science workforce as key to advancing the growing field of translational science. An annual mixed-methods assessment has been conducted on Common Metrics data submitted by over 60 Clinical & Translational Science Awards (CTSA) programs nationwide and includes metrics addressing recruitment and retention of scientists with particular attention to underrepresented persons and women. This article describes a methodology for the development of From Insights to Action , a resource for guiding program implementation and strategic planning to develop a diverse clinical and translational science workforce. This was informed by the Common Metrics Initiative process and constituted of findings from qualitative interviews of a subset of CTSAs that participated. The dissemination of this guide had several impacts, including providing structural foci for the CTSA Fall 2020 program meeting centered on Diversity, Equity, and Inclusion in translational science; addressing NCATS' goal of workforce diversity; and understanding the number of diverse graduates still engaged in research.",Ruiz R
Pediatric radiology,2022,8,Creating a health equity and inclusion office in an academic pediatric medical center: priorities addressed and lessons learned.,"Over the last two decades, medical schools and academic health centers have acknowledged the persistence of health disparities in their patients and the lack of diversity in their faculty, leaders and extended workforce. We established an Office of Health Equity and Inclusion (OHEI) at our pediatric academic medical center after a thorough evaluation of prior diversity initiatives and review of faculty development data.",Ward VL
The Annals of thoracic surgery,2022,8,Diversity in National Society Leadership and Podium Speakers in Cardiothoracic Surgery.,Women and people of color are often underrepresented in medicine. This study examined the inclusivity and diversity of the recent history of the Canadian Association of Thoracic Surgeons (CATS) in both its executive committees and invited participation at its annual meeting.,Turner SR
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,2022,7,2022 Society of Gynecologic Oncology meeting report.,"The Society of Gynecologic Oncology (SGO) 2022 Annual Meeting was held between 18-21 March in Phoenix, Arizona. Multiple scientific plenary sessions covered key research concepts that included novel therapeutics, precision oncology, clinical trials, cancer care delivery, diversity, equity and inclusion, surgical trials and translational research. In the present report presentations that may impact clinical care are summarized.",Nasioudis D
Pathogens and disease,2022,7,The role of mentoring in promoting diversity equity and inclusion in STEM Education and Research.,"The success of mentoring derives from active and respectful listening and the willingness to learn and accept opportunities for personal growth. This shapes every trainee and their destined path in science, technology, engineering, and mathematics (STEM). The act of cultivating rapport, asking, and pondering meaningful questions, and receiving constructive feedback are critical to support a productive mentoring relationship. Successful mentoring in STEM can be established and allow mentees, especially underrepresented minorities (URMs), to flourish in an environment where they feel welcomed and supported. However, mentees from underrepresented groups often experience inadequate mentoring due to a mentor's lack of awareness, poor trainings themselves, or lack of understanding of the mentee's hardships. It is important for mentors and mentees to work together to promote diversity, equity, and inclusion (DEI) in STEM education through creativity, authenticity, and networking. We analyzed data obtained from students who attended a recent workshop that are interested in going to graduate school. Our results show that despite low initial expectations for the workshop, many students were satisfied in the knowledge they gleaned. The future and role of diversity in STEM within these underrepresented groups lies in community support and an important role that they can play in the lives of others through DEI initiatives and throughout their careers all of which involves positive mentoring.",Marshall AG
Psychological review,2022,7,"Open science: Friend, foe, or both to an antiracist psychology?","The open science framework has garnered increased visibility and has been partially implemented in recent years. Open science underscores the importance of transparency and reproducibility to conduct rigorous science. Recently, several journals published by the American Psychological Association have begun adopting the open science framework. At the same time, the field of psychology has been reckoning with the current sociopolitical climate regarding anti-Blackness and White supremacy. As psychology begins to adopt the open science framework into its journals, the authors underscore the importance of embracing and aligning open science with frameworks and theories that have the potential to move the field toward antiracism and away from the embedded White supremacy value systems and ideals. The present article provides an overview of the open science framework; an examination of White supremacy ideology in research and publishing; guidance on how to move away from these pernicious values; and a proposal on alternate value systems to center equity, diversity, and inclusion with the aim of establishing an antiracist open science framework. (PsycInfo Database Record (c) 2022 APA, all rights reserved).",Fuentes MA
American journal of speech-language pathology,2022,7,Inequity in Peer Review in Communication Sciences and Disorders.,"The American Speech-Language-Hearing Association (ASHA) has committed to advancing diversity, equity, and inclusion (DEI) by retaining and advancing Black, Indigenous, and people of color (BIPOC) individuals in the discipline of communication sciences and disorders (CSD), amid critical shortages of faculty to train the next generation of practitioners and researchers. Publishing research is central to the recruitment, retention, and advancement of faculty. However, inequity in peer review may systematically target BIPOC scholars, adding yet another barrier to their success as faculty. This viewpoint article addresses the challenge of inequity in peer review and provides some practical strategies for developing equitable peer-review practices. First, we describe the demographics of ASHA constituents, including those holding research doctorates, who would typically be involved in peer review. Next, we explore the peer-review process, describing how inequity in peer review may adversely impact BIPOC authors or research with BIPOC communities. Finally, we offer real-world examples of and a framework for equitable peer review.",Girolamo TM
British medical bulletin,2022,7,Tackling organ donation among minority ethnic communities in the UK-a whole systems approach.,"There are inequalities experienced by minority ethnic groups in the UK in organ donation and transplant services, with significant variation in relation to demand for, access to and waiting times for these services.",Randhawa G
"Med (New York, N.Y.)",2022,7,Queer visibility in medicine.,"The LBGTQ + community has achieved great progress since the Stonewall riot of 1969, but queer identities, in particular trans and non-binary people, are still marginalized and threatened. This Pride month, our authors reflect on the importance of visibility in medicine, and the benefits it brings to patients and science as a whole. While these Voices offer a snapshot of the current state in the US, the overarching themes reverberate globally. Med is committed to supporting our community on its journey toward global inclusivity.",
