journal,year,month,title,abstract,author,author1,affiliation
Oncology Nursing Forum,2021,11,Update to 2019–2022 ONS Research Agenda: Rapid Review to Address Structural Racism and Health Inequities.,"PURPOSE: The Oncology Nursing Society (ONS) formed a team to develop a necessary expansion of the 2019–2022 ONS Research Agenda, with a focus on racism and cancer care disparities. METHODS: A multimethod consensus-building approach was used to develop and refine the research priorities. A panel of oncology nurse scientists and equity scholars with expertise in health disparities conducted a rapid review of the literature, consulted with experts and oncology nurses, and reviewed priorities from funding agencies. RESULTS: Critical gaps in the literature were identified and used to develop priority areas for oncology nursing research, practice, and workforce development. SYNTHESIS: This is the first article in a two-part series that discusses structural racism and health inequities within oncology nursing. In this article, three priority areas for oncology nursing research are presented; in the second article, strategies to improve cancer disparities and equity and diversity in the oncology workforce are described. IMPLICATIONS FOR RESEARCH: Research priorities are presented to inform future research that will provide methods and tools to increase health equity and reduce structural racism in oncology nursing practice, research, education, policy, and advocacy.","Jones, Randy A.","Hirschey, Rachel","Professor in the School of Nursing at the University of Virginia (UVA), Charlottesville."
Boston College Law Review,2021,11,DEPRESSION TO DEDICATION: HOW CHIEF JUSTICE GANTS SAVED MY LIFE AND CATALYZED ONGOING ADVOCACY FOR MENTAL HEALTH IN THE LEGAL PROFESSION.,"Chief Justice Ralph D. Gants was more than just a lauded member of the Massachusetts state judiciary. He was a mentor, a confidant, a friend. Gavin Alexander, one of Chief Justice Gants's former Law Clerks, writes in deeply personal terms about the incredible kindness, empathy, and pure humanity that defined the late Chief Justice. Alexander, through the narrative of his journey coping with depression and eventually becoming a public advocate for mental health and diversity, equity, and inclusion in the legal profession, emphasizes the marked impact Chief Justice Gants had on his life and the lives of so many other lawyers experiencing similar struggles. Beyond his individual story, Alexander describes how, under Chief Justice Gants's leadership, the Supreme Judicial Court created its initial Steering Committee on Lawyer Well-Being in 2018 and its more permanent Standing Committee on Lawyer Well-Being in January 2020. As the Committee's first Fellow, Alexander describes how the Committee strives to improve lawyer well-being in Massachusetts by breaking down the stigma against discussing mental health issues and seeking help, by educating the Massachusetts legal profession about topics and resources relating to well-being, and by advocating for systemic change to make the Massachusetts legal profession more rewarding, sustainable, and inclusive. This critical work, which continues today, carries on Chief Justice Gants's legacy, and challenges Massachusetts lawyers to embody and advocate for the kindness, empathy, and desire for equitable justice that Chief Justice Gants exhibited his entire life.","ALEXANDER, GAVIN",,Massachusetts Supreme Judicial Court Standing Committee on Lawyer Well-Being
American Journal of Health-System Pharmacy,2021,11,"Joint address from the President and the Chief Executive Officer of ASHP: Reflections on an unprecedented, extraordinary, and remarkable year.","The article features the joint address of American Society of Health System Pharmacists (ASHP) President Tom Johnson and Chief Executive Officer Paul W. Abramowitz in 2021. Topics covered include the profession's step-up to meet the pandemic's challenges, the ASHP's role in supporting its members and the healthcare community, and its creation of the Task Force on Racial Diversity, Equity, and Inclusion to advise on advancing these themes. Also noted are ASHP's interactions with government.","Johnson, Thomas J","Abramowitz, Paul W","Avera Health , Sioux Falls, SD , USA"
Economic Development Journal,2021,10,35 years of leadership.,"The article offers information on Jeff Finkle, president and Chief Executive Officer (CEO) of the International Economic Development Council (IEDC), who first learned the value of public service from the ages of twelve to seventeen. His first job in state government was in the office of Ohio Governor James Rhodes. More recently, diversity, equity, and inclusion have become key areas of research for IEDC.","Brown, Emily","Cappone, Haley",Senior Director of Knowledge Management and Development at IEDC
New Directions for Student Leadership,2021,9,Leadership education in professional and graduate schools.,"This article makes a case for the need of graduate leadership curricula, including professional programs such as health care, law, and engineering. Diversity, equity, and inclusion is focused on as a critical piece of this leadership curricula.","Simen, Janice Hoffman","Meyer, Tina",Western University of Health Sciences
"International Journal of Radiation Oncology, Biology, Physics",2018,5,"Qualitative Assessment of Academic Radiation Oncology Department Chairs' Insights on Diversity, Equity, and Inclusion: Progress, Challenges, and Future Aspirations.","<bold>Purpose: </bold>A lack of diversity has been observed in radiation oncology (RO), with women and certain racial/ethnic groups underrepresented as trainees, faculty, and practicing physicians. We sought to gain a nuanced understanding of how to best promote diversity, equity, and inclusion (DEI) based on the insights of RO department chairs, with particular attention given to the experiences of the few women and underrepresented minorities (URMs) in these influential positions.<bold>Methods and Materials: </bold>From March to June 2016, we conducted telephone interviews with 24 RO department chairs (of 27 invited). Purposive sampling was used to invite all chairs who were women (n = 13) or URMs (n = 3) and 11 male chairs who were not URMs. Multiple analysts coded the verbatim transcripts.<bold>Results: </bold>Five themes were identified: (1) commitment to DEI promotes quality health care and innovation; (2) gaps remain despite some progress with promoting diversity in RO; (3) women and URM faculty continue to experience challenges in various career domains; (4) solutions to DEI issues would be facilitated by acknowledging realities of gender and race; and (5) expansion of the career pipeline is needed.<bold>Conclusions: </bold>The chairs' insights had policy-relevant implications. Bias training should broach tokenism, blindness, and intersectionality. Efforts to recruit and support diverse talent should be deliberate and proactive. Bridge programs could engage students before their application to medical school.","Jones, Rochelle D.","Chapman, Christina H.","Center for Bioethics and Social Science in Medicine, University of Michigan, Ann Arbor, Michigan"
College & Research Libraries News,2022,9,Student learning and engagement in a DEI collection audit: Applying the ACRL Framework for Information Literacy.,"The article provides a summary of the ACRL Framework for Information Literacy for Higher Education's knowledge practices and dispositions to design the internship experience and reports that the University of the Pacific conducted a diversity, equity and inclusion (DEI) audit of the library book and scores collections with several student interns.","Wells, Veronica A.","Gibney, Michele",University of Pacific Libraries
GSA Today,2022,10,"Diversity, Equity, and Inclusion.",,,,
Educational Leadership,2022,2,Which Curriculum Audit Is Best for Your School?,"The article discusses use of initials DEI by schools and education organizations to refer to diversity, equity and inclusion and mentions charts showing types of curriculum audits. Topics discussed include building system to ensure participation of members and benefit assesment without undue burden, curriculum built to foster liberation and plans of care for those experienced harm.","Porosoff, Lauren",,Founder of EMPOWER Forwards.
Public Integrity,2021,5,"Putting ""Perspectives"" in Perspective: Literary Fiction, Empathy & Diversity In the Public Affairs Classroom.","In the context of increasing diversity, polarized politics, and degraded public discourse, public servants are more central than ever to democracy. What new skills might they need? How might we address them in our curricula? This article analyzes one attempt: ""Perspectives on Public Values,"" a course that fosters empathy in difficult conversations about diversity, equity, and inclusion (DEI) while relying on literary fiction as its material. To draw lessons for programs offering similar courses, it assesses the student experience, focusing on: concerns students had before the course; whether those concerns manifested in the course; what most surprised students; what the instructor should do differently/the same in the future; and the students' main lessons. Data come from students' written reflections and the instructor's reflection. This study finds: more students voiced concerns about the DEI aspect of the course than about its basis in literary fiction; in the future the instructor should make stronger connections to public administration; and students' reported increased self-awareness, and derived lessons about the importance of multiple perspectives and lived experiences, and implications for public service practice. It concludes with recommendations for pedagogy, workplace training, and how public administrators might view DEI issues.","Brainard, Lori A.",,George Washington University
New Directions for Community Colleges,2022,9,Diversity by design: Broadening participation through inclusive teaching.,"Although community colleges are increasingly diverse, student outcomes across demographics are not necessarily equitable, nor does the representation of student demographics in a given class always reflect the diversity of the greater institutional student population. To achieve colleges' stated diversity and equity goals, we must broaden participation in our classrooms through inclusive teaching practices. This chapter shares the stories of four community college faculty change agents in STEM who have implemented inclusive teaching and broadening participation strategies. Specifically, the authors discuss how to build a sense of belonging, support classroom conversations on diversity, incorporate diverse perspectives into curricula, and broaden the participation and success of all students. Finally, the authors recommend actions for individual faculty, faculty communities of practice, institutions, and surrounding communities to spur culture change and help achieve diversity and equity through inclusion.","Goering, Andrea E.","Resnick, Cheryl E.",Lane Community College
Independent School,2016,3,LEARNING HAPPENS EVERYWHERE.,"The article identifies public schools in the U.S. that are innovating not just in the areas of teaching and learning but also in the areas of diversity, equity and inclusion. They include the Cornerstone Academy for Social Action Middle School in the Bronx, New York City, the Center for Advanced Research and Technology in Clovis, California, and the Virginia Beach City Public Schools in Virginia.","THINNES, CHRIS",,
Obstetrics & Gynecology,2022,5,"Race.Culture.OBGYN: Creating a Database of Diversity, Equity, and Inclusion Resources for Obstetrics and Gynecology Residency Programs [A60].","INTRODUCTION: Multiple studies repeatedly demonstrate that people of color suffer poorer obstetrical and gynecological outcomes in the United States. To improve physician awareness on these inequities, the American College of Obstetricians and Gynecologists released a Committee Opinion on Race and Ethnic Disparities recommending that all obstetrics and gynecology residency programs address inherent bias and systemic racism. However, competing resident educational requirements leaves limited time for a diverse diversity, equity, and inclusion (DEI) education beyond the occasional lecture. The Race.Culture.OBGYN initiative seeks to increase the frequency and quality of GME level DEI education by making it applicable to already existing didactics and clinical duties. METHODS: The Race.Culture.OBGYN initiative has curated a wide variety of resources for specific clinical conditions in every subspecialty in obstetrics and gynecology. The resources are curated on an open access website to allow graduate medical education (GME) programs to incorporate DEI knowledge into specific didactic lectures with ease. Our hypothesis is that residents will feel more comfortable applying DEI education to daily clinical encounters. A national survey of the current statuses of DEI education at residency programs and an evaluation of the resources on the website will be collected. RESULTS: The Race.Culture.OBGYN project has curated resources and has now expanded into creating a podcast series to elevate voices of resident physicians doing DEI work locally. Survey results are pending. CONCLUSION: By creating a single hub of condition-based resources, this project reminds us the issues are more pervasive, present in all aspects of clinical care. Through this, the initiative hopes to transform DEI education for obstetrics and gynecology residents.","Venkatesh, Anusha","Udutha, Anirudh","Kasturba Medical College, Manipal, Manipal, Karnataka, India"
Developmental Science,2023,2,"Stereotypes in the classroom's air: Classroom racial stereotype endorsement, classroom engagement, and STEM achievement among Black and White American adolescents.","Research Highlights Initiatives promoting diversity, equity, and inclusion in predominantly White contexts, including STEM fields, have primarily relied on approaches to increase the representation of minoritized individuals. However, an increase in the representation of minoritized individuals is only one step of the process, as the present study suggests that explicit beliefs about particular racial groups’ abilities also matter. The present article examined whether classroom racial stereotype endorsement about science and math disadvantaged Black American adolescents relative to their White American peers. Across two longitudinal studies with 533 and 1,189 adolescents (<italic>N</italic>‐adolescents = 1722; <italic>N</italic>‐classrooms = 86; 45% Black American, 55% White American; 51% females; <italic>M</italic>‐age = 13–14), classroom pro‐White/anti‐Black stereotype endorsement in the fall term predicted better science and math achievement scores for White American adolescents and lower science and math achievement scores for Black American adolescents at the end of the academic year. Student‐ and teacher‐reported student engagement in science and math classrooms mediated the longitudinal relations between classroom pro‐White/anti‐Black stereotype endorsement and students’ achievement scores. Results suggest that classrooms may be important conduits for communicating racial stereotypes that create racially hostile STEM learning environments. Using a longitudinal sample of 1722 adolescents enrolled in 86 classrooms, the present study examined the consequences of classroom racial stereotype endorsement during adolescence. White American adolescents demonstrated favorable achievement scores in science and math when their classmates endorsed traditional, or pro‐White/anti‐Black, stereotypes. Black American adolescents showed worse achievement scores in science and math when their classmates endorsed pro‐White/anti‐Black stereotypes. Classroom engagement mediated the longitudinal relations between classroom pro‐White/anti‐Black stereotype endorsement and achievement scores for both Black and White American adolescents.","Del Toro, Juan","Wang, Ming‐Te",University of Minnesota Twin Cities
International Journal of Selection & Assessment,2023,2,"Should DEI statements be included in faculty selection? Exploring legal, diversity, and validity issues.","Many public and private employers have been using Diversity, Equity, and Inclusion (DEI) statements during the selection process as part of their mission of having a diverse workforce. This paper focuses on the use of DEI statements in public and private higher education. The paper reviews several key issues relative to the use of DEI statements ranging from the First Amendment to management considerations. We explore several dilemmas that arise due to the use of DEI statements. We note that although the First Amendment is uniquely a US issue, the paper addresses the growth of DEI internationally and the need for international academics to be aware of the issues addressed in this manuscript. We also make recommendations for future research and practice.","Ficht, Linda S.","Levashina, Julia","Luter School of Business, Christopher Newport University"
Journal of Multilingual & Multicultural Development,2023,2,Possibilities of transformative change for greater equity in language education.,"Abstract Using a critical linguistics (Pennycook, 2001) lens, this introduction provides an overview of the contributions found within this special edition and highlights the reasons why an issue dedicated to language and race, ethnicity and immigration is necessary at this time in our history. This special issue examines unique and promising approaches to improving equity, inclusion and diversity in language education in multilingual contexts. The articles discuss issues and report on studies from different parts of the world with authors from a variety of sub-disciplines. All of the contributors focus on increasing success for all – linking research, policy, and practice in original and innovative ways.","Gregersen, Tammy",,"English Department, American University of Sharjah"
Medical Teacher,2023,2,Synthesis and perspectives from the Ottawa 2022 conference on the assessment of competence.,"Abstract Introduction Methods Results and discussion The Ottawa Conference on the Assessment of Competence in Medicine and the Healthcare Professions was first convened in 1985 in Ottawa. Since then, what has become known as the Ottawa conference has been held in various locations around the world every 2 years. It has become an important conference for the community of assessment – including researchers, educators, administrators and leaders – to share contemporary knowledge and develop international standards for assessment in medical and health professions education.The Ottawa 2022 conference was held in Lyon, France, in conjunction with the AMEE 2022 conference. A diverse group of international assessment experts were invited to present a symposium at the AMEE conference to summarise key concepts from the Ottawa conference. This paper was developed from that symposium.This paper summarises key themes and issues that emerged from the Ottawa 2022 conference. It highlights the importance of the consensus statements and discusses challenges for assessment such as issues of equity, diversity, and inclusion, shifts in emphasis to systems of assessment, implications of ‘big data’ and analytics, and challenges to ensure published research and practice are based on contemporary theories and concepts.","Boursicot, Katharine","Kemp, Sandra",Health Professional Assessment Consultancy
Journal of American College Health,2023,2,Campus climate and sense of belonging: Implications for the mental health outcomes of Asian American graduate students.,"Abstract <bold>Objective:</bold> The purpose of this study was to test a conceptual framework examining the interrelationships among campus climate, sense of belonging, anxiety, depression, and flourishing using a sample of Asian American graduate students. <bold>Methods:</bold> Secondary analysis of the Healthy Mind Study data from Fall 2019-Spring 2020 was conducted using a path analysis controlling for gender and perceptions of current financial situation as stressful. <bold>Results:</bold> Findings indicated that neither campus climate measured as perceptions of the climate for students from diverse backgrounds nor campus climate measured as perceptions of overall campus climate directly affected any of the outcome variables. Moreover, it was found that sense of belonging fully mediated the relationship between each campus climate and outcome variable. <bold>Conclusions:</bold> Sense of belonging is important to consider when evaluating campus climate and mental health outcomes among student populations. There are implications for college administrators responsible for diversity, equity, and inclusion initiatives and programs.","McKenzie, Camille S.","Farmer, Antoinette Y.","School of Social Work, Rutgers University"
Journal of Business & Psychology,2023,2,Black Physicians' Experiences with Anti-Black Racism in Healthcare Systems Explored Through An Attraction-Selection-Attrition Lens.,"Anti-Black racism is a specific form of racism directed at Black people. In healthcare, there are poignant examples of anti-Black racism in the recruitment, selection, and retention stages of the job cycle. Research shows that anti-Black racism is associated with inequitable work outcomes and the under-representation of Black physicians. However, empirical findings are scattered with no organizing framework to consolidate these findings. To add to the literature, in this paper we present the attraction-selection-attrition (ASA) model (Schneider, 1987) as an organizing framework to discuss Black physicians' experiences with anti-Black racism and discrimination throughout their careers. We draw from previous literature to highlight specific experiences of Black physicians at each stage of the job cycle (i.e., attraction, selection, retention), and we offer considerations on how practitioners can mitigate anti-Black racism throughout the job cycle. In the wake of COVID-19 and highly publicized social justice movements, healthcare systems are seeking ways to increase the recruitment, selection, and retention of Black physicians to ensure health equity. We believe this guide will be valuable to practitioners, leaders, researchers, and program directions seeking to advance diversity, equity, and inclusion of Black physicians in their healthcare systems. We conclude by providing practical implications and directions for future research.","Williams, Myia S.","Myers, Alyson K.","Department of Medicine, Northwell Health, Manhasset, NY, USA"
International Journal of Primatology,2023,2,"Minutes of the Council Meetings and the General Assembly at the XXVIIIth Congress of the International Primatological Society Quito, Ecuador January 9–15, 2022.","Funds for IPS President Ratsimbazafy thanked Past President Strier for launching the Heritage Fund and asked everyone to think of other ideas to help fund the society. President Strier finished by mentioning that this was the last Council meeting that she chaired as IPS President, as the Post-Congress Council Meeting will be chaired by the President elect Ratsimbazafy. The Pre-Congress Meeting of the Council of the International Primatological Society January 9, 2022 1:45 - 5:25 pm Quorum Quito Events Center, Conference Room 1 and via Zoom The meeting was called to order at 1:45 pm by President Strier. President Strier explained the amendment to Article 5 (Election) of the IPS Bylaws suggested by the Past ex oficio President Tetsuro Matsuzawa establishing the election cycle in which the new VP for Ethics, Diversity, Equity, and Inclusion will be in.","Bicca-Marques, Júlio César","Ross, Stephen","Escola de Ciências da Saúde e da Vida, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, RS, Brazil"
Journal of Higher Education,2023,1,Do Rubrics Live up to Their Promise? Examining How Rubrics Mitigate Bias in Faculty Hiring.,"Many colleges and universities now require faculty search committees to use rubrics when evaluating faculty job candidates, as proponents believe these “decision-support tools” can reduce the impact of bias in candidate evaluation. That is, rubrics are intended to ensure that candidates are evaluated more fairly, which is then thought to contribute to the enhanced hiring of candidates from minoritized groups. However, there is scant — and even contradictory — evidence to support this claim. This study used a multiple case study methodology to explore how five faculty search committees used rubrics in candidate evaluation, and the extent to which using a rubric seemed to perpetuate or mitigate bias in committee decision-making. Results showed that the use of rubrics can improve searches by clarifying criteria, encouraging criteria use in evaluation, calibrating the application of criteria to evidence, and in some cases, bringing diversity, equity, and inclusion work (DEI) into consideration. However, search committees also created and implemented rubrics in ways that seem to perpetuate bias, undermine effectiveness, and potentially contribute to the hiring of fewer minoritized candidates. We conclude by providing stakeholders with practical recommendations on using rubrics and actualizing DEI in faculty hiring.","Culpepper, Dawn","White-Lewis, Damani","ADVANCE Program for Inclusive Excellence, University of Maryland College Park, College Park MD, USA"
Legal Reference Services Quarterly,2023,1,Critical Collections: Bringing A Critical Eye to Law Library Collection Development.,"Law schools throughout the United States are considering strategies to embed the concepts of antiracism,diversity, equity, and inclusion into legal education. How does the work of their law libraries intersect with this effort? One potential point of intersection is through law library collection develpment. This article offers an overview of strategies to both curate and bolster representation of diverse voices in an academic law library collection using the theories of critical legal information literacy and epistemic injustice.","Norton, Nicholas",,"Research Resources & Inclusivity Initiatives Librarian, Cornell Law School"
Violence Against Women,2023,1,From Compliance to Transformation: Notes on the MSU Strategic Plan to Address RVSM.,"This response to Campbell et al. makes three points. First, the commitment to ""know more"" must examine the full ecology of relationship violence and sexual misconduct (RVSM); that knowledge is essential for creating multilevel prevention strategies. Second, a full realization of an intersectional perspective requires attention to a broader range of power-based harms, forging institutional links between RVSM prevention and work on diversity, equity, and inclusion. Third, while support for survivors is certainly vital, most people who experience harm do not report it, and so an ambitious approach to prevention is vital to building communities in which everyone can thrive.","Hirsch, Jennifer S.","Khan, Shamus","5798Columbia University, New York, NY, USA"
Collection Management,2023,1,(Re)Moving Indigenous Knowledge Boundaries: A Review of Library and Archival Collection Literature since the Enactment of the Native American Graves Protection and Repatriation Act (NAGPRA).,"The enactment of the Native American Graves Protection and Repatriation Act (NAGPRA) in 1990 marked a turning point for the stewardship and preservation of Indigenous cultural heritage materials. In the past 30 years, themes in library and archival collection literature have also shifted to emphasize decolonization, equity, diversity, and inclusion. This article provides an overview of scholarship on Indigenous and Indigenous-related research materials with evidence of advocacy and integration of decolonization methodologies in acquisitions, bibliographic sources and tools, digitization, access, and associated curriculum. Discussion of issues yet to be remediated and areas for further research are also presented.","Reijerkerk, Dana","Nyitray, Kristen J.","Stony Brook University, Stony Brook, New York"
Journal of Applied Sport Psychology,2023,1,Black Student-Athletes and racism pandemic: Building antiracist practices in athletics.,"The year 2020 was filled with injustices, fear, and uncertainty that has disproportionately affected Black communities in the United States and abroad. From the unprecedented number of deaths inflicted by COVID-19, specifically on minority groups, to the horrific murders of Black citizens by those in positions of authority and power, the world was once again reminded that racism is still alive. Black student-athletes are among those enduring trauma that has been consistent over centuries and are contending with the chronic nature of systemic racism as it pertains to being a Black athlete within the world of athletics and their respective schools. Through grounded theory, researchers captured the lived experiences of 14 Black student-athletes through qualitative interviews to ensure that sports psychology practitioners and researchers are equipped with the correct resources, knowledge, and skills, to aid in the healing of Black student-athletes although also advocating for expedited social reform and representation within the realm of education, law enforcement, politics, and mental health services. Five key domains emerged from this study including Identity Development, Perception and Expectations, Mental Health, Privilege, and Systems. The authors offer best practices within each domain in an effort to develop anti-racist practices to be implemented within athletic institutions and beyond. Lay summary: Black student-athletes are faced with systemic racism within all the worlds they live in, and as it pertains to being an athlete of color within the National Collegiate Athletic Association (NCAA). Black student-athletes are also coping with major life stressors and, as such, this paper gathered the lived experiences of student-athletes identifying as Black and explored how they experienced support during their tenure as student-athletes in an attempt to establish anti-racist and supportive practices within athletic communities. Develop strategies for athletes to understand and evaluate their identity. Integrate anti-racist practices into large systems including implicit bias training, undoing racism, and privilege education. Create tools and visuals for athletes of color, illustrating the institution's commitment to diversity, equity and inclusion.","Economou, Peter","Glascock, Tori","Graduate School of Applied and Professional Psychology, Rutgers University"
Family Court Review,2023,1,A compass but not a road map: Diversity considerations with the AFCC Guidelines on Parenting Plan Evaluations.,"The 2022 Guidelines for Parenting Plan Evaluations in Family Law Cases were developed taking into account membership feedback which identified guidance around issues of Diversity Equity & Inclusion (DE&I) as a high priority. The current Guidelines have integrated issues of diversity in many areas of the document, by adding a section on guiding principles and values, expanding and clarifying evaluator education and training, and embedding cultural and diversity considerations in many sections of the document. The Guidelines do not provide more direct instruction or education on specific topics or aspects of culture and diversity. Key points for the family court community: The AFCC community recognizes the importance of understanding and including issues of diversity and culture in Parenting Plan Evaluations.The Guidelines have adopted an integrated approach to emphasizing DE&I considerations in key areas of the Parenting Plan Evaluation process.The Guidelines do not offer a ""how to"" approach, which places the responsibility on the forensic evaluator to seek out opportunities, experiences, and knowledge that will further their cultural competence.","Harris‐Britt, April",,"AHB Forensics and Consulting, PLLC"
Learned Publishing,2023,1,Publisher–Society partnerships to further image accessibility and global inclusivity in the Humanities and Social Sciences: Comparing top‐down and bottom‐up approaches.,"Key points: Collaboration between publishers and learned society partners can accelerate and amplify DEIA outcomes.97 HSS titles have adopted alt‐text publication workflows and this change has been welcomed by journal authors and editors.Efforts to promote global inclusivity do not always result in greater membership diversity, retention and growth.Top‐down, publisher‐led DEIA initiatives are effective when they are aligned strategically to pre‐existing society initiatives.Bottom‐up, member‐led DEIA initiatives benefit from publisher support to mitigate financial and time‐based barriers to active participation.To reliably track DEIA outcomes, publishers ought to adopt systematic data collection strategies through initiatives like C4 and the Joint Commitment.","Cooper, George","Burton, Katherine","Taylor & Francis, Abingdon, UK"
Learned Publishing,2023,1,Family Medicine editors collaborate towards antiracist publishing.,"Key points: Editors of 10 North American Family Medicine journals simultaneously published a Joint Call for Action to address systemic racism and encourage diversity, equity, inclusion and accessibility/antiracism (DEIA) initiatives in medicine and medical publishing in January 2021.The efforts of the journals since publication of the joint editorial are summarized and include working to diversify editorial teams, editorial boards and authors; enhanced content about DEIA topics; mentoring of authors who are underrepresented in medicine (URM); and presenting content related to DEIA in Family Medicine publishing at national meetings.Editors had a follow up meeting in November 2022 to continue working toward a common goal of reducing racism and increasing DEIA initiatives in Family Medicine publications.","Schrager, Sarina","Sexton, Sumi","Family Medicine and Community Health, University of Wisconsin‐Madison School of Medicine and Public Health, Madison Wisconsin,, USA"
Neutron News,2023,1,The 11th American Conference on Neutron Scattering.,"The Monday morning session started with the awarding of the Clifford G. Shull Prize in Neutron Scattering to Dan A. Neumann (NIST) ""for outstanding contributions, leadership, and vision to the neutron scattering community as scientist, mentor, instrument developer, and facility steward"" (Figure 1). The meeting, organized by the Neutron Scattering Society of America (NSSA), was led by Conference Chair and NSSA Vice President Peter Gehring (National Institute of Standards and Technology [NIST]) and NSSA President Young Lee (Stanford University) together with the Local Committee Co-chairs Steven DeCaluwe (Colorado School of Mines) and Dmitry Reznik (University of Colorado). The recipients were Paul Butler ""for service to the neutron scattering community through his leadership and development of scientific software for small-angle scattering"", Simon Billinge ""for service to the neutron scattering community through his leadership and development of scientific software for total scattering experiments"", Brent Fultz ""for service to the neutron scattering community through his leadership and development of scientific software and instrumentation for inelastic scattering"", and William D. Ratcliff ""for service to the neutron community by founding and organizing a national school on solving magnetic structures with neutron diffraction and developing new AI data collection and analysis methods."" The main scientific program began on Monday, and many special events were held throughout the week, including the NCNR User Group (NUG) and SNS/HFIR User Group (SHUG) meetings, an exhibitor hall, the ACNS Banquet, a Diversity, Equity, and Inclusion (DEI) discussion focused on barriers to access for neutron science, a breakout discussion on how to improve the user experience with Oak Ridge National Laboratory (ORNL) neutron data systems, and the Women in Neutron Science Mixer.","Balsara, Nitash","DeBeer-Schmitt, Lisa","University of California, Berkeley, California, USA"
National Review,2022,8,Casualties of The Reading Wars.,"Phonics is part of it, but the science of reading reflects a broader body of research, across multiple disciplines, showing that most children can learn how to read if they're taught with the right methods. This gap is a problem that phonics alone cannot fix, and the deficits become even wider if schools fail to address them; but the science of reading is the best approach to begin doing so. SPECIAL SECTION: EDUCATION FEW debates in the field of education are more corrupted by politics than the debate about how America's schools teach reading - and that's no small feat given today's alphabet soup of education-related controversies such as CRT (critical race theory), DEI (diversity, equity, and inclusion), and SEL (social and emotional learning).","CHU, DALE",,
American Record Guide,2022,7,Critical Convictions.,"The article focuses on League of Symphony Orchestras awarded grants to the U.S. orchestras for equity, diversity, and inclusion work. It mentions that the goal of the Multicultural Awareness Council (MAC), Music Innovator program is to amplify African American musicians who demonstrate both artistic excellence and a passion for engaging communities not traditionally reached by the CSO.",,,
International Journal for Academic Development,2022,12,Creating the Framework for Inclusive Teaching Excellence.,"This paper describes a multi-year project to inform academic development (AD) for instructors at a large university, as the result of a shift towards greater equity, diversity, inclusion, and access (EDIA) efforts. A variety of data were collected, along with extant literature focused on teaching and learning, to identify campus needs and priorities for AD, resulting in a signature pedagogy: the Framework for Inclusive Teaching Excellence. FITE enables a shared understanding of teaching and learning with an EDIA lens, which has been integrated across all aspects of AD programming and informs how teaching and learning are valued and assessed.","Cuenca-Carlino, Yojanna","Giovagnoli, David J.",Illinois State University
Journal of Social Work Education,2022,12,Ethics and LGBTQIA+ Student Rights in Religious Institutions: Navigating Tensions in Implicit Curriculum.,"On March 29, 2021, the Religious Exemption Accountability Project filed a class-action lawsuit against the U.S. Department of Education on behalf of 33 sexual and gender minority students who reported discrimination at institutions that have a Title IX religious’ exemption. Of the 25 institutions named in the suit, 14 have accredited social work programs. This litigation highlights the importance of a professional discussion about implicit curriculum, regarding diversity, equity, and inclusion of LGBTQ+ students in programs at institutions with Title IX exemptions. Utilizing the Code of Ethics and the ethical principles of the International Federation of Social Workers, the author provides recommendations for accountability and support for social work programs based in these exempt schools.","Timbers, Veronica L.",,
Public Library Quarterly,2022,12,#StopAsianHate: A Content Analysis of Public Library Statements Released in Response to Anti-Asian Hate.,"With the recent rise in anti-Asian hate incidents, many Asian American communities have been living in a state of uncertainty and fear. In contrast to the harmful rhetoric that has arguably contributed to such acts of hate, some organizations have issued statements in support of Asian American communities. This study seeks to examine the role and potential impact of statements from public libraries in responding to anti-Asian hate. Content analysis was used to identify the themes found in public library statements, the percentage of libraries that actually released statements, and when the statements were released. Some notable themes from the statements include solidarity with Asian American communities, condemnation of hate incidents, providing information resources, the history of anti-Asian racism, and a commitment to EDI (equity, diversity, and inclusion) and social justice. The study describes how the overall lack of public library statements and the timing of the statements may affect the stakeholder relationship between Asian Americans and public libraries. In addition, ALA’s ninth principle in its Code of Ethics is used as a framing tool to point out how public libraries can focus on advocacy, awareness, education, and collaboration when creating statements in response to future hate incidents.","Chae, Andrew",,San José State University
Medical Ethics Advisor,2022,12,Updated Ethics Guidance on Medical Informatics.,"The article presents the discussion on conflict of interest being an ethical issues in healthcare relevant in the health informatics field. Topics include emerging ethical issues in informatics having the impact of new technologies on patients and healthcare providers; and updated guidance including an emphasis on diversity, equity, inclusion, and accessibility, along with a recommendation.",,,
Ethnic & Racial Studies,2022,12,A change in regime: examining diversity theater and racial inequality at an education nonprofit.,"Diversity, equity and inclusion is one of the hottest topics in organizations of every industry. Despite the variety of diversity efforts and initiatives employed across organizations, most fall short. In this paper, I apply Thomas' [2018. ""Diversity Regimes and Racial Inequality: A Case Study of Diversity University."" Social Currents 5 (2): 140–156] Diversity Regimes framework to examine how a national education nonprofit organizes and deploys diversity work. Using ethnograph zic fieldwork and interviews, I show that the diversity regime at Education for All is centralized, which in turn leads to a more unified and shared diversity discourse. I also show there is a more complex version of staging of difference, which I call diversity theater. Applying this framework allows us to understand the different shapes diversity regimes may take depending on industry and organizational structure, which can help us better understand the underlying structures that halt racial equity.","Glass, Leah E.",,"Department of Sociology, CUNY Graduate Center, New York, NY, USA"
